Materia,Materia matriz,📘 Institutos,Instituto,📘 Materias,Objetivo de la materia,Contenidos mínimos,Bibliografía obligatoria,Bibliografía complementaria,Carga horaria (from 📘 Materias),Programa,Carreras,Currícula,Tipología,📖 Producción,Estado de producción,Avance de producción,Código Materia,ID Materia,Copia de 📖 Producción,Bimestre,Año (from Currícula),👨‍🎓 Búsquedas
 Corporeidad y Estimulación Psicomotriz,,IPP,IPP,,,,,,,,,,, Corporeidad y Estimulación Psicomotriz - 2B-2026,Pendiente,0%,,,,,,
 Psicopatología de los Ciclos Vitales,,IPP,IPP,,,,,,,,,,,,,,,,,,,
ACCIONES PUBLICITARIAS EN MEDIOS DIGITALES SMO,ACCIONES PUBLICITARIAS EN MEDIOS DIGITALES SMO,IPP,IPP,,,,,,,,,0250P75A - 4to Año - 1B,Específica,,,,0250P75A,6220,,1B,4to Año,
ACOMPAÑAMIENTO TERAPEÚTICO EN NIÑEZ Y ADOLOSCENCIA,,IPP,IPP,,,,,,,,,,,,,,,,,,,
ACOMPAÑAMIENTO TERAPEÚTICO EN NIÑEZ Y ADOLOSCENCIA,,IPP,IPP,,,,,,,,,,,,,,,,,,,
Acompañante Terapéutico en Adultos,,IPP,IPP,,,,,,,,,,,,,,,,,,,
Actualización Profesional en Inteligencia Artificial,Actualización Profesional en Inteligencia Artificial,IPP,IPP,,,,,,,,,,,Actualización Profesional en Inteligencia Artificial - 2A-2025,Finalizado,100%,IAFP,7355,,,,
ADMINISTRACIÓN,ADMINISTRACIÓN,IPP,IPP,Administración ,,,,,,,TÉCNICO EN GESTIÓN TURÍSTICA,0361P25 - 1er Año - 2B,General,,,,0361P25,6420,,2B,1er Año,
ADMINISTRACIÓN COMERCIAL,ADMINISTRACIÓN COMERCIAL,IPP,IPP,,,,,,,,"CLOUD ADMINISTRATION,AGILE COACHING","NGEQ001 - 2do Año - 2A,NGEQ001 - 2do Año - 2A","Específica,Específica",ADMINISTRACIÓN COMERCIAL - -,Pendiente,0%,NGEQ001,6262,,"2A,2A","2do Año,2do Año",
ADMINISTRACIÓN DE EMPRESAS,ADMINISTRACIÓN DE EMPRESAS,IPP,IPP,Administración de Empresas,"Distinguir, explicar y argumentar la tipología de empresas y organizaciones existentes según la actividad económica, sector económico, formas de producción, fines y propietarios, estructura y ámbitos comerciales, formulando de manera adecuada las tareas y decisiones que deben ser asumidas para la administración de una empresa.
Describir y explicar la importancia que tiene para la gestión organizacional contar con sub-sistemas que le permitan cumplir con la planificación propuesta, así como también, velar por una adecuada administración organizacional y de empresa.
Identificar y explicar los principales elementos y factores que la Globalización y Tecnología ha establecido para fortalecer la gestión organizacional, considerando las decisiones que debería enfrentar una organización desde la perspectiva estratégica y competitiva en el sector empresarial.
Aplicar el Modelo de las Cinco Fuerzas de Porter, reconociendo las principales fuentes de ventajas competitivas y reflexionando acerca del atractivo industrial.","Fundamentos de la Administración de Empresas. Las Empresas y Organizaciones. Evolución de las Empresas. La Teoría de Sistemas: La Empresa como sistema. Tipos de Sistemas Organizacionales. Recursos de una Organización. Clasificación de las Empresas según fines y ámbitos. Descripción de las Etapas del Proceso Administrativo. Elementos de un Sistema Organizacional. La Importancia de los Sub-Sistemas de Empresas. Gestión de Recursos Humanos. Gestión de Marketing. Gestión de Operaciones. Gestión Financiera. Áreas de Apoyo Organizacional. La Globalización de los Mercados. La Importancia de la Planificación Estratégica para enfrentar la Globalización. Reconocimiento de las Fortalezas, Oportunidades, Debilidades y Amenazas de la Organización. Formulación de Planes Estratégicos. Formulación de Planes Tácticos. El Rol del Liderazgo Organizacional para lograr un proceso de Toma de Decisiones Competitivo y Óptimo. Las Decisiones Estratégicas. Reconociendo el Rol de la Planificación Estratégica. La importancia de Reconocer el Impacto del Sector Industrial. Modelo de las Cinco Fuerzas de Porter. Fuentes de Ventajas Competitivas. Ventajas Comparativas. Grupos y Esfuerzos Estratégicos. Estrategia Competitiva. Los Stakeholders. ","Sánchez Delgado, M. (2015). Administración 1. Grupo Editorial Patria. Pp. 51-84.
Sánchez Delgado, M. (2015). Administración 1. Grupo Editorial Patria. Pp. 85-132.
Magretta, J. (2015). Para entender a Michael Porter: guía esencial hacia la estrategia y la competencia. Grupo Editorial Patria. Pp 40-54","Baca Urbina, Gabriel. Administración integral: hacia un enfoque de procesos. México, D.F., MX: Grupo Editorial Patria, 2014. ProQuest ebrary. Web. 29 August 2017. Pp. 35 - 94.
Baca Urbina, Gabriel. Administración integral: hacia un enfoque de procesos. México, D.F., MX: Grupo Editorial Patria, 2014. ProQuest ebrary. Web. 12 September 2017. Pp. 95 - 102/215 - 224/251 - 270.
Fernández Romero, A. (2004). Dirección y planificación estratégica en empresas y organizaciones. Ediciones Díaz de Santos. Pp. 21-63.
Administración Hitt, Black, Porter Porter, L. W. A. Hitt, M. y W. Porter, L. (2006). Pp 250-263 Administración. Pearson Educación.
Fernández Romero, A. (2004). Dirección y planificación estratégica en empresas y organizaciones. Ediciones Díaz de Santos.",,,"CONTADOR GENERAL,GESTIÓN HOTELERA,TÉCNICO EN CONTROL DE GESTIÓN,CONTADOR AUDITOR,GESTIÓN HOTELERA,CLOUD ADMINISTRATION,AGILE COACHING","NGEQ002 - 1er Año - 2A,NGEQ002 - 1er Año - 2A,NGEQ002 - 1er Año - 2A,NGEQ002 - 1er Año - 2A,NGEQ002 - 1er Año - 2A,NGEQ002 - 1er Año - 2A","Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento",ADMINISTRACIÓN DE EMPRESAS - 1B-2025,Finalizado,NaN,NGEQ002,6251,,"2A,2A,2A,2A,2A,2A","1er Año,1er Año,1er Año,1er Año,1er Año,1er Año",
